Vreme : 9/3/2023 6:19:50 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:51 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:52 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:53 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:54 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:55 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:56 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:57 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:58 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:59 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:00 PM , Vrednost : 10 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:00 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:01 PM , Vrednost : 9.98629534754574 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:01 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:02 PM , Vrednost : 9.94521895368273 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:03 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:03 PM , Vrednost : 9.87688340595138 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:04 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:04 PM , Vrednost : 9.78147600733806 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:05 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:05 PM , Vrednost : 9.65925826289068 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:06 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:06 PM , Vrednost : 9.51056516295153 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:07 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:07 PM , Vrednost : 9.33580426497202 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:08 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:20:08 PM , Vrednost : 9.13545457642601 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:20:09 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
